Type,Level,Name,Core Keywords
Type 1,Level 1 (최상),Wise Realist,"Wise, Accepting, Noble, Pure, Realistic, Humane, Transcendent"
Type 1,Level 7-9 (최하),Intolerant Misanthrope,"Intolerant, Self-Righteous, Inflexible, Punitive, Obsessive, Condemning"
Type 2,Level 1 (최상),Disinterested Altruist,"Unconditional Love, Altruistic, Humble, Gracious, Joyous, Selfless"
Type 2,Level 7-9 (최하),Self-Deceptive Manipulator,"Manipulative, Self-Deceptive, Guilt-Instilling, Entitled, Coercive, Hostile"
Type 3,Level 1 (최상),Authentic Person,"Authentic, Modest, Genuine, Inner-Directed, Charitable, Self-Accepting"
Type 3,Level 7-9 (최하),Exploitative Opportunist,"Exploitative, Deceptive, Narcissistic, Vindictive, Relentless, Psychopathic"
Type 4,Level 1 (최상),Inspired Creator,"Creative, Self-Renewing, Inspired, Universal, Transformative, Regenerating"
Type 4,Level 7-9 (최하),Alienated Depressive,"Depressed, Ashamed, Self-Inhibiting, Alienated, Paralyzed, Self-Destructive"
Type 5,Level 1 (최상),Pioneering Visionary,"Visionary, Open-Minded, Pioneering, Perceptive, Comprehensive, Original"
Type 5,Level 7-9 (최하),Isolated Nihilist,"Reclusive, Nihilistic, Eccentric, Fearful, Delusional, Schizoid"
Type 6,Level 1 (최상),Valiant Hero,"Trusting, Courageous, Bonded, Independent, Self-Affirming, Heroic"
Type 6,Level 7-9 (최하),Overreacting Dependent,"Dependent, Self-Disparaging, Clinging, Paranoid, Panicky, Masochistic"
Type 7,Level 1 (최상),Ecstatic Appreciator,"Joyous, Ecstatic, Grateful, Appreciative, Assimilating, Satisfied"
Type 7,Level 7-9 (최하),Impulsive Escapist,"Impulsive, Infantile, Addicted, Debauched, Manic, Panic-Stricken"
Type 8,Level 1 (최상),Magnanimous Heart,"Compassionate, Empowering, Gentle, Magnanimous, Protective, Forbearing"
Type 8,Level 7-9 (최하),Ruthless Outlaw,"Ruthless, Destructive, Dictatorial, Megalomaniac, Violent, Sociopathic"
Type 9,Level 1 (최상),Self-Possessed Guide,"Self-Possessed, Dynamic, Serene, Exuberant, Independent, All-Embracing"
Type 9,Level 7-9 (최하),Denying Doormat,"Denying, Neglectful, Dissociated, Numb, Helpless, Self-Abandoning"
